"%s extension not registered.","اکستنشن %s ثبت نشده است."
"%s save error. Please try again later.","خطای ذخیره سازی . %s لطفا بعدا دوباره تلاش نمایید."
" or registration information for"," یا اطلاعات ثبت برای"
" is not valid. Please check them or %s"," معتبر نیست. لطفا آن‌ها را چک کنید یا %s"
"contact us.","با ما تماس بگیرید."
"%s is required.","%s الزامی است."
"%s is not valid.","%s معتبر نیست."
"Activation","فعال‌سازی"
"Serial Number","شماره سریال"
"Registration Code","کد ثبت"
"Full Name","نام کامل"
"Email Address","آدرس ایمیل"
"Configuration","پیکربندی"
"Enabled","ممکن‌شده"
"Yes","بلی"
"No","خیر"
"Fast Import Export","ورود و صدور سریع"
"Export","صدور"
"Import","ورود"
"Configuration","پیکربندی"
"Developer","توسعه دهنده"
"Remote Database","دیتابیس راه دور"
"LOAD DATA INFILE is Possible","LOAD DATA INFILE ممکن است"
"Import Default Settings","تنظیمات پیش فرض ورود"
"Import Bunch Size","اندازه گروه ورودی"
"Auto Index Stock","فهرست سازی خودکار موجودی"
"Auto Index Prices","فهرست سازی خودکار قیمت ها"
"Auto Index Category and Product Relation","فهرست سازی خودکار ارتباط رده و محصول"
"Auto Index Attributes","فهرست سازی خودکار ویژگی ها"
"Auto Index Search","فهرست سازی خودکار جستجو"
"Auto Index URL Rewrites","فهرست سازی خودکار بازنویسی های URL"
"Export Settings","تنظیمات صدور"
"Entity Type","نوع موجودیت"
"Export File Format","فرمت فایل صدور"
"From","از"
"To","تا"
"Attribute does not has options, so filtering is impossible","ویژگی گزینه ای ندارد، بنابراین فیلتر کردن ممکن نیست"
"Skip","پرش"
"Attribute Label","عنوان ویژگی"
"Attribute Code","کد ویژگی"
"Filter","فیلتر"
"Unknown attribute filter type","نوع فیلتر ویژگی نامعلوم"
"Fast Export","صدور سریع"
"Logger History","پیشینه ثبت وقایع"
"Back","بازگشت"
"Delete","حذف"
"Are you sure?","شما مطمئن اید؟"
"Log Details","جزییات ثبت"
"You must enable the extension. Click <a href="%s">here</a>","شما باید اکستنشن را فعال کنید. <a href="%s">اینجا</a> کلیک کنید"
"You must enable the extension.","شما باید اکستنشن را فعال کنید."
"No valid data sent","داده های معتبر ارسال نشد"
"Total size of uploadable files must not exceed %s","مجموع اندازه فایل های قابل بارگذاری نباید از %s تجاوز کند"
"Import successfully done.","ورود با موفقیت انجام شد."
"No data to import.","داده ای برای ورود نیست."
"Status","وضعیت"
"-- Please Select --","-- لطفا انتخاب نمایید --"
"Begin export of %s","شروع صدور %s"
"There is no data for export","داده ای برای صدور وجود ندارد"
"Exported %s rows.","%s سطر صادر شد"
"Export has been done.","صدور انجام شد."
"No filter data provided","فیلتر داده ای ارایه نشده است"
"Begin import of ""%s"" with ""%s"" behavior","شروع ورود ""%s"" با رفتار ""%s"""
"Import has been done successfuly.","ورود با موفقیت انجام شد."
"in rows","در سطرهای"
"Invalid entity model","مدل موجودیت نامعتبر"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","وفقدهنده موجودیت شی باید نمونه ای از Mage_ImportExport_Model_Import_Entity_Abstract باشد"
"Invalid entity","موجودیت نامعتبر"
"Input entity code is not equal to entity adapter code","کد موجودیت ورودی با کد وفقدهنده موجودیت یکسان نیست"
"Attribute Code","کد ویژگی"
"Attribute Value","مقدار ویژگی"
"Add SKU","افزودن کد کالا"
"Add Name","افزودن نام"
"Limit ID","محدودیت شناسه"
"Limit","محدودیت"
"Export Type","نوع صدور"
"File Name","نام فایل"
"Entity Attributes","ویژگی های موجودیت"
"Continue","ادامه"
"Price","قیمت"
"Quantity","تعداد"
"Fast Import","ورود سریع"
"Import Settings","تنظیمات ورود"
"Import Type","نوع ورود"
"Import Behavior","رفتار ورود"
"Import File Format","نوع فایل ورود"
"File Source","منبع فایل"
"Reads file from [Magento_root]/var/fastimport/<br/>Just enter file name here.","فایل را از [Magento_root]/var/fastimport/ می خواند<br/>فقط نام فایل را اینجا وارد کنید."
"Select File to Import","انتخاب فایل برای ورود"
"Custom Settings","تظیمات سفارشی"
"If No, Import Default Settings will use.","اگر خیر باشد، تنظیمات پیش فرض ورود استفاده خواهد شد."
"Please note that <a target="_blank" href="http://www.ecomdev.org/2011/10/08/ecomdev-breaks-magento-speed-limits.html">EcomDev_UrlRewrite</a> must be installed for this indexer to work.<br />Magento\'s default indexer is too slow to be implemented here.<br />If you still wish to use the original indexer, please do so nightly via cron.","لطفا توجه داشته باشید برای این که این فهرست ساز کار کند <a target="_blank" href="http://www.ecomdev.org/2011/10/08/ecomdev-breaks-magento-speed-limits.html">EcomDev_UrlRewrite</a> باید نصب شده باشد. <br />فهرست ساز پیش فرض مجنتو، برای استفاده در این جا بسیار کند است. <br />اگر شما هنوز مایلید که از فهرست ساز اصلی مجنتو استفاده کنید، لطفا این کار را شبانه و از طریق cron انجام دهید."
"Results","نتایج"
"Developer","توسعه دهنده"
"CODNITIVE Developer Section","بخش توسعه دهنده CODNITIVE"
